Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
Verno,NRG,https://www.vlr.gg/player/21668/verno,Americas,428005,195805,LotusPICK,bo1,1.22,244,24,15,2,1.6,85%,154,40%,2,1
FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,Americas,428005,195805,LotusPICK,bo1,1.11,194,15,17,10,0.88,77%,129,17%,2,1
s0m,NRG,https://www.vlr.gg/player/4164/s0m,Americas,428005,195805,LotusPICK,bo1,0.87,156,15,19,10,0.79,69%,93,29%,1,1
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,Americas,428005,195805,LotusPICK,bo1,0.59,105,9,17,4,0.53,46%,82,24%,1,3
eeiu,100T,https://www.vlr.gg/player/796/eeiu,Americas,428005,195806,PearlPICK,bo1,0.99,198,16,15,5,1.07,73%,122,51%,1,2
Asuna,100T,https://www.vlr.gg/player/601/asuna,Americas,428005,195806,PearlPICK,bo1,0.88,156,12,14,10,0.86,64%,102,29%,2,2
Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,Americas,428005,195806,PearlPICK,bo1,0.77,185,15,15,1,1.0,68%,112,16%,1,2
Boostio,100T,https://www.vlr.gg/player/604/boostio,Americas,428005,195806,PearlPICK,bo1,0.66,162,12,18,5,0.67,68%,101,20%,3,2
zander,100T,https://www.vlr.gg/player/8082/zander,Americas,428005,195806,PearlPICK,bo1,0.44,147,11,20,8,0.55,64%,91,32%,1,6
mada,NRG,https://www.vlr.gg/player/5132/mada,Americas,428005,195806,PearlPICK,bo1,1.66,326,26,15,4,1.73,86%,211,26%,6,2
s0m,NRG,https://www.vlr.gg/player/4164/s0m,Americas,428005,195806,PearlPICK,bo1,1.47,258,19,12,8,1.58,91%,160,19%,6,1
FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,Americas,428005,195806,PearlPICK,bo1,1.17,158,13,10,13,1.3,77%,99,20%,0,1
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,Americas,428005,195806,PearlPICK,bo1,0.85,172,13,15,5,0.87,91%,111,29%,1,4
Verno,NRG,https://www.vlr.gg/player/21668/verno,Americas,428005,195806,PearlPICK,bo1,0.84,123,11,14,6,0.79,82%,85,23%,1,0
zander,100T,https://www.vlr.gg/player/8082/zander,Americas,428005,195807,Bind,bo1,1.20,240,19,15,5,1.27,82%,148,39%,5,0
