Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
Meteor,T1,https://www.vlr.gg/player/13039/meteor,Pacific,595649,all,,1.17,253,41,30,8,1.37,81%,163,33%,5,3,bo3
iZu,T1,https://www.vlr.gg/player/29833/izu,Pacific,595649,all,,1.1,225,35,27,3,1.3,70%,144,21%,10,3,bo3
Munchkin,T1,https://www.vlr.gg/player/2489/munchkin,Pacific,595649,all,,1.08,201,28,27,17,1.04,77%,119,23%,3,2,bo3
BuZz,T1,https://www.vlr.gg/player/804/buzz,Pacific,595649,all,,1.04,222,35,29,7,1.21,63%,138,12%,4,7,bo3
stax,T1,https://www.vlr.gg/player/485/stax,Pacific,595649,all,,0.86,145,20,26,11,0.77,67%,94,24%,1,5,bo3
Xross,NS,https://www.vlr.gg/player/42772/xross,Pacific,595640,all,,1.19,196,79,62,20,1.27,71%,132,41%,7,2,bo5
Rb,NS,https://www.vlr.gg/player/488/rb,Pacific,595640,all,,1.17,200,78,64,35,1.22,79%,124,19%,12,3,bo5
Ivy,NS,https://www.vlr.gg/player/31829/ivy,Pacific,595640,all,,1.11,199,75,67,35,1.12,73%,133,31%,9,10,bo5
Dambi,NS,https://www.vlr.gg/player/31827/dambi,Pacific,595640,all,,0.87,224,82,87,21,0.94,61%,130,21%,18,16,bo5
Francis,NS,https://www.vlr.gg/player/31828/francis,Pacific,595640,all,,0.72,163,59,79,23,0.75,63%,103,29%,15,17,bo5
Jemkin,RRQ,https://www.vlr.gg/player/24895/jemkin,Pacific,595640,all,,1.12,224,85,71,20,1.2,78%,138,30%,15,6,bo5
xffero,RRQ,https://www.vlr.gg/player/4871/xffero,Pacific,595640,all,,1.09,191,80,71,30,1.13,79%,132,34%,7,5,bo5
Monyet,RRQ,https://www.vlr.gg/player/8497/monyet,Pacific,595640,all,,0.94,196,73,80,32,0.91,68%,138,27%,13,27,bo5
crazyguy,RRQ,https://www.vlr.gg/player/1430/crazyguy,Pacific,595640,all,,0.83,160,68,79,35,0.86,67%,106,30%,7,16,bo5
Kushy,RRQ,https://www.vlr.gg/player/4866/kushy,Pacific,595640,all,,0.82,160,53,76,32,0.7,72%,109,23%,6,7,bo5
Meiy,DFM,https://www.vlr.gg/player/6672/meiy,Pacific,595658,all,,1.07,246,31,33,5,0.94,62%,167,28%,4,6,bo3
SSeeS,DFM,https://www.vlr.gg/player/21438/ssees,Pacific,595658,all,,0.88,114,15,27,15,0.56,59%,78,19%,3,1,bo3
Caedye,DFM,https://www.vlr.gg/player/29841/caedye,Pacific,595658,all,,0.74,191,26,35,6,0.74,54%,132,37%,1,6,bo3
