Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,CN,506952,all,,bo1,,141,21,32,15,0.66,,,,,
Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,CN,506953,all,,bo1,1.37,284,35,29,15,1.21,79%,178,20%,2,3
SWERL,NOVA,https://www.vlr.gg/player/1209/swerl,CN,506953,all,,bo1,0.68,161,24,34,4,0.71,59%,98,29%,4,7
o0o0o,NOVA,https://www.vlr.gg/player/4402/o0o0o,CN,506953,all,,bo1,0.65,137,17,30,11,0.57,67%,97,26%,1,1
cb,NOVA,https://www.vlr.gg/player/39697/cb,CN,506953,all,,bo1,0.64,139,19,31,5,0.61,59%,106,28%,4,8
GuanG,NOVA,https://www.vlr.gg/player/41054/guang,CN,506953,all,,bo1,0.64,158,23,32,1,0.72,62%,100,33%,5,4
happywei,XLG,https://www.vlr.gg/player/37927/happywei,CN,506953,all,,bo1,1.42,287,37,25,13,1.48,85%,187,30%,9,3
Viva,XLG,https://www.vlr.gg/player/36415/viva,CN,506953,all,,bo1,1.29,230,30,22,16,1.36,85%,165,33%,2,2
NoMan,XLG,https://www.vlr.gg/player/11527/noman,CN,506953,all,,bo1,1.11,191,28,22,8,1.27,77%,127,46%,4,3
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,CN,506953,all,,bo1,1.11,231,33,27,7,1.22,77%,134,36%,5,7
coconut,XLG,https://www.vlr.gg/player/12365/coconut,CN,506953,all,,bo1,1.08,186,28,22,14,1.27,77%,133,40%,3,1
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,CN,506954,all,,bo1,1.34,283,63,44,14,1.43,69%,171,27%,13,7
Jieni7,EDG,https://www.vlr.gg/player/51244/jieni7,CN,506954,all,,bo1,1.04,207,46,45,30,1.02,72%,122,27%,4,10
