Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
Jremy,TS,https://www.vlr.gg/player/7405/jremy,Pacific,184491,all,,0.96,207.0,26,32,5,0.81,61%,129.0,21%,6.0,3.0,bo3
BORKUM,TS,https://www.vlr.gg/player/2333/borkum,Pacific,184491,all,,0.81,168.0,20,29,10,0.69,71%,109.0,24%,1.0,1.0,bo3
DubsteP,TS,https://www.vlr.gg/player/2679/dubstep,Pacific,184491,all,,0.66,151.0,19,32,2,0.59,47%,116.0,33%,5.0,10.0,bo3
invy,TS,https://www.vlr.gg/player/8504/invy,Pacific,184491,all,,0.64,157.0,20,33,11,0.61,63%,104.0,27%,1.0,8.0,bo3
JessieVash,TS,https://www.vlr.gg/player/2334/jessievash,Pacific,184491,all,,0.55,117.0,14,31,11,0.45,61%,82.0,14%,0.0,3.0,bo3
Sayaplayer,T1,https://www.vlr.gg/player/4545/sayaplayer,Pacific,184491,all,,1.61,281.0,41,18,7,2.28,87%,195.0,26%,11.0,2.0,bo3
Munchkin,T1,https://www.vlr.gg/player/2489/munchkin,Pacific,184491,all,,1.28,253.0,35,23,20,1.52,87%,168.0,30%,2.0,3.0,bo3
xeta,T1,https://www.vlr.gg/player/474/xeta,Pacific,184491,all,,1.21,207.0,28,19,12,1.47,82%,123.0,10%,5.0,2.0,bo3
carpe,T1,https://www.vlr.gg/player/31207/carpe,Pacific,184491,all,,1.15,216.0,30,22,18,1.36,84%,135.0,27%,4.0,3.0,bo3
ban,T1,https://www.vlr.gg/player/5129/ban,Pacific,184491,all,,1.11,181.0,11,8,5,1.38,76%,107.0,23%,3.0,1.0,bo3
iNTRO,T1,https://www.vlr.gg/player/482/intro,Pacific,184491,all,,1.06,148.0,12,9,6,1.33,95%,117.0,40%,0.0,2.0,bo3
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,184492,all,,1.36,226.0,30,18,24,1.67,84%,133.0,22%,5.0,3.0,bo3
BuZz,KRX,https://www.vlr.gg/player/804/buzz,Pacific,184492,all,,1.26,291.0,40,25,8,1.6,74%,179.0,23%,4.0,7.0,bo3
Rb,KRX,https://www.vlr.gg/player/488/rb,Pacific,184492,all,,1.08,169.0,24,20,9,1.2,68%,109.0,25%,1.0,6.0,bo3
Foxy9,KRX,https://www.vlr.gg/player/11600/foxy9,Pacific,184492,all,,1.05,224.0,30,27,10,1.11,71%,142.0,17%,5.0,5.0,bo3
stax,KRX,https://www.vlr.gg/player/485/stax,Pacific,184492,all,,0.98,155.0,22,22,22,1.0,76%,101.0,18%,1.0,1.0,bo3
Seoldam,DFM,https://www.vlr.gg/player/10584/seoldam,Pacific,184492,all,,1.02,234.0,30,30,7,1.0,63%,142.0,28%,11.0,8.0,bo3
takej,DFM,https://www.vlr.gg/player/1002/takej,Pacific,184492,all,,0.95,160.0,22,28,15,0.79,66%,110.0,45%,4.0,2.0,bo3
Reita,DFM,https://www.vlr.gg/player/1003/reita,Pacific,184492,all,,0.78,153.0,21,29,17,0.72,71%,103.0,32%,2.0,1.0,bo3
Anthem,DFM,https://www.vlr.gg/player/6700/anthem,Pacific,184492,all,,0.75,197.0,22,30,8,0.73,61%,136.0,31%,2.0,4.0,bo3
xnfri,DFM,https://www.vlr.gg/player/7718/xnfri,Pacific,184492,all,,0.75,144.0,17,29,13,0.59,61%,97.0,24%,3.0,1.0,bo3
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Pacific,184493,all,,1.48,253.0,34,18,6,1.89,80%,156.0,20%,4.0,5.0,bo3
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Pacific,184493,all,,1.32,221.0,29,17,12,1.71,80%,151.0,23%,3.0,1.0,bo3
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Pacific,184493,all,,1.24,210.0,26,18,13,1.44,83%,121.0,27%,4.0,0.0,bo3
something,PRX,https://www.vlr.gg/player/17086/something,Pacific,184493,all,,1.07,196.0,24,20,9,1.2,74%,137.0,19%,7.0,4.0,bo3
mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,Pacific,184493,all,,0.95,174.0,21,20,9,1.05,74%,106.0,26%,4.0,3.0,bo3
