Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
zeek,TH,https://www.vlr.gg/player/562/zeek,EMEA,167354,all,,1.07,221.0,32,32,14,1.0,71%,146.0,36%,3.0,7.0,bo3
Mixwell,TH,https://www.vlr.gg/player/93/mixwell,EMEA,167354,all,,1.07,223.0,30,34,26,0.88,79%,138.0,25%,3.0,2.0,bo3
Boo,TH,https://www.vlr.gg/player/1144/boo,EMEA,167354,all,,0.77,125.0,19,29,9,0.66,71%,90.0,24%,0.0,5.0,bo3
AvovA,TH,https://www.vlr.gg/player/1507/avova,EMEA,167354,all,,0.62,148.0,20,37,16,0.54,67%,97.0,18%,3.0,2.0,bo3
Ethan,EG,https://www.vlr.gg/player/11225/ethan,Americas,167354,all,,1.56,303.0,45,25,29,1.8,90%,189.0,16%,7.0,2.0,bo3
BcJ,EG,https://www.vlr.gg/player/864/bcj,Americas,167354,all,,1.09,191.0,27,27,29,1.0,86%,118.0,13%,2.0,5.0,bo3
Boostio,EG,https://www.vlr.gg/player/604/boostio,Americas,167354,all,,1.08,211.0,33,25,8,1.32,76%,141.0,25%,0.0,4.0,bo3
jawgemo,EG,https://www.vlr.gg/player/3993/jawgemo,Americas,167354,all,,1.0,220.0,33,30,9,1.1,79%,135.0,18%,10.0,7.0,bo3
C0M,EG,https://www.vlr.gg/player/619/c0m,Americas,167354,all,,0.93,184.0,27,32,21,0.84,69%,117.0,10%,4.0,1.0,bo3
frz,MIBR,https://www.vlr.gg/player/651/frz,Americas,167355,all,,1.14,223.0,37,32,13,1.16,78%,148.0,34%,5.0,2.0,bo3
murizzz,MIBR,https://www.vlr.gg/player/783/murizzz,Americas,167355,all,,1.13,200.0,32,31,26,1.03,71%,132.0,34%,5.0,5.0,bo3
heat,MIBR,https://www.vlr.gg/player/8673/heat,Americas,167355,all,,1.03,250.0,37,36,10,1.03,67%,164.0,32%,8.0,10.0,bo3
jzz,MIBR,https://www.vlr.gg/player/13093/jzz,Americas,167355,all,,0.97,194.0,32,36,14,0.89,67%,119.0,28%,3.0,2.0,bo3
RgLMeister,MIBR,https://www.vlr.gg/player/5351/rglmeister,Americas,167355,all,,0.83,175.0,23,32,28,0.72,71%,111.0,18%,2.0,3.0,bo3
Sushiboys,TLN,https://www.vlr.gg/player/3342/sushiboys,Pacific,167355,all,,1.19,230.0,37,29,8,1.28,78%,155.0,23%,4.0,3.0,bo3
foxz,TLN,https://www.vlr.gg/player/6723/foxz,Pacific,167355,all,,1.1,226.0,36,31,18,1.16,73%,150.0,23%,3.0,5.0,bo3
Crws,TLN,https://www.vlr.gg/player/3977/crws,Pacific,167355,all,,1.01,205.0,30,30,19,1.0,71%,125.0,30%,4.0,3.0,bo3
garnetS,TLN,https://www.vlr.gg/player/18035/garnets,Pacific,167355,all,,0.92,238.0,34,38,10,0.89,69%,155.0,27%,8.0,6.0,bo3
JitBoyS,TLN,https://www.vlr.gg/player/13788/jitboys,Pacific,167355,all,,0.82,172.0,30,33,14,0.91,64%,99.0,24%,3.0,6.0,bo3
k1Ng,GEN,https://www.vlr.gg/player/771/k1ng,Pacific,167350,all,,1.45,268.0,44,32,23,1.38,83%,170.0,34%,5.0,1.0,bo3
TS,GEN,https://www.vlr.gg/player/983/ts,Pacific,167350,all,,1.1,193.0,37,32,24,1.16,75%,116.0,13%,4.0,6.0,bo3
Meteor,GEN,https://www.vlr.gg/player/13039/meteor,Pacific,167350,all,,1.03,239.0,39,37,10,1.05,69%,154.0,26%,10.0,5.0,bo3
eKo,GEN,https://www.vlr.gg/player/1960/eko,Pacific,167350,all,,0.76,158.0,24,35,21,0.69,69%,106.0,15%,5.0,7.0,bo3
Secret,GEN,https://www.vlr.gg/player/4054/secret,Pacific,167350,all,,0.7,146.0,25,37,22,0.68,73%,81.0,13%,0.0,5.0,bo3
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,167350,all,,1.18,251.0,41,34,24,1.21,75%,161.0,24%,2.0,3.0,bo3
saadhak,LOUD,https://www.vlr.gg/player/727/saadhak,EMEA,167350,all,,1.06,223.0,34,35,10,0.97,73%,148.0,20%,9.0,8.0,bo3
