match_id,map_num,killer,victim,kills,deaths
167352,113054,QutionerX,BuZz,3,3
167352,113054,QutionerX,stax,3,2
167352,113054,QutionerX,Zest,5,3
167352,113054,QutionerX,Rb,0,4
167352,113054,QutionerX,MaKo,3,6
167352,113054,AsLanM4shadoW,BuZz,0,8
167352,113054,AsLanM4shadoW,stax,1,2
167352,113054,AsLanM4shadoW,Zest,2,1
167352,113054,AsLanM4shadoW,Rb,4,2
167352,113054,AsLanM4shadoW,MaKo,3,1
167353,113055,Xeppaa,Benkai,5,4
167353,113055,Xeppaa,mindfreak,4,2
167353,113055,Xeppaa,Jinggg,6,3
167353,113055,Xeppaa,f0rsakeN,3,3
167353,113055,Xeppaa,d4v41,3,2
167353,113055,Zellsis,Benkai,5,1
167353,113055,Zellsis,mindfreak,2,2
167353,113055,Zellsis,Jinggg,2,4
167353,113055,Zellsis,f0rsakeN,0,5
167353,113055,Zellsis,d4v41,4,3
167353,113055,vanity,Benkai,3,2
167353,113055,vanity,mindfreak,2,1
167353,113055,vanity,Jinggg,3,4
167353,113055,vanity,f0rsakeN,5,4
167353,113055,vanity,d4v41,1,1
167353,113055,leaf,Benkai,3,4
167353,113055,leaf,mindfreak,5,2
167353,113055,leaf,Jinggg,3,2
167353,113055,leaf,f0rsakeN,2,2
167353,113055,leaf,d4v41,4,1
167353,113055,yay,Benkai,1,2
167353,113055,yay,mindfreak,6,5
167353,113055,yay,Jinggg,1,3
167353,113055,yay,f0rsakeN,7,3
167353,113055,yay,d4v41,4,0
167353,113056,Xeppaa,Benkai,4,1
167353,113056,Xeppaa,mindfreak,4,2
167353,113056,Xeppaa,Jinggg,5,0
167353,113056,Xeppaa,f0rsakeN,4,4
167353,113056,Xeppaa,d4v41,4,1
167353,113056,Zellsis,Benkai,2,3
167353,113056,Zellsis,mindfreak,2,1
167353,113056,Zellsis,Jinggg,1,4
167353,113056,Zellsis,f0rsakeN,5,0
167353,113056,Zellsis,d4v41,3,3
167353,113056,vanity,Benkai,2,1
167353,113056,vanity,mindfreak,1,1
167353,113056,vanity,Jinggg,3,2
167353,113056,vanity,f0rsakeN,1,2
167353,113056,vanity,d4v41,1,2
167353,113056,leaf,Benkai,4,1
167353,113056,leaf,mindfreak,4,2
167353,113056,leaf,Jinggg,3,3
167353,113056,leaf,f0rsakeN,5,1
167353,113056,leaf,d4v41,5,2
167353,113056,yay,Benkai,3,2
167353,113056,yay,mindfreak,2,3
167353,113056,yay,Jinggg,2,2
167353,113056,yay,f0rsakeN,2,1
167353,113056,yay,d4v41,2,1
167354,113058,keloqz,Boostio,6,2
167354,113058,keloqz,BcJ,6,0
167354,113058,keloqz,C0M,4,4
167354,113058,keloqz,Ethan,3,7
167354,113058,keloqz,jawgemo,4,2
167354,113058,zeek,Boostio,2,1
167354,113058,zeek,BcJ,3,2
167354,113058,zeek,C0M,4,4
167354,113058,zeek,Ethan,1,5
167354,113058,zeek,jawgemo,4,4
167354,113058,Mixwell,Boostio,1,7
167354,113058,Mixwell,BcJ,2,3
167354,113058,Mixwell,C0M,2,2
167354,113058,Mixwell,Ethan,6,3
167354,113058,Mixwell,jawgemo,3,1
167354,113058,AvovA,Boostio,2,0
167354,113058,AvovA,BcJ,1,3
167354,113058,AvovA,C0M,0,4
167354,113058,AvovA,Ethan,1,5
167354,113058,AvovA,jawgemo,4,5
167354,113058,Boo,Boostio,0,3
167354,113058,Boo,BcJ,2,2
167354,113058,Boo,C0M,5,2
167354,113058,Boo,Ethan,3,4
167354,113058,Boo,jawgemo,1,2
167354,113059,keloqz,Boostio,1,3
167354,113059,keloqz,BcJ,4,5
167354,113059,keloqz,C0M,5,3
167354,113059,keloqz,Ethan,1,3
167354,113059,keloqz,jawgemo,4,4
167354,113059,zeek,Boostio,6,4
167354,113059,zeek,BcJ,1,3
167354,113059,zeek,C0M,2,2
167354,113059,zeek,Ethan,4,3
167354,113059,zeek,jawgemo,5,4
167354,113059,Mixwell,Boostio,2,4
167354,113059,Mixwell,BcJ,3,2
167354,113059,Mixwell,C0M,6,3
167354,113059,Mixwell,Ethan,2,6
167354,113059,Mixwell,jawgemo,3,3
167354,113059,AvovA,Boostio,4,2
167354,113059,AvovA,BcJ,3,7
167354,113059,AvovA,C0M,2,3
167354,113059,AvovA,Ethan,2,7
167354,113059,AvovA,jawgemo,1,1
167354,113059,Boo,Boostio,1,7
167354,113059,Boo,BcJ,2,0
167354,113059,Boo,C0M,2,0
167354,113059,Boo,Ethan,2,2
167354,113059,Boo,jawgemo,1,7
167355,113061,RgLMeister,foxz,0,5
167355,113061,RgLMeister,Sushiboys,5,1
167355,113061,RgLMeister,Crws,1,3
167355,113061,RgLMeister,JitBoyS,2,1
167355,113061,RgLMeister,garnetS,3,7
167355,113061,frz,foxz,4,2
167355,113061,frz,Sushiboys,2,5
167355,113061,frz,Crws,4,2
167355,113061,frz,JitBoyS,4,0
167355,113061,frz,garnetS,4,5
167355,113061,murizzz,foxz,1,2
167355,113061,murizzz,Sushiboys,2,5
167355,113061,murizzz,Crws,3,4
167355,113061,murizzz,JitBoyS,7,1
167355,113061,murizzz,garnetS,4,2
167355,113061,jzz,foxz,3,4
167355,113061,jzz,Sushiboys,0,4
167355,113061,jzz,Crws,1,8
167355,113061,jzz,JitBoyS,1,2
167355,113061,jzz,garnetS,4,1
167355,113061,heat,foxz,8,2
167355,113061,heat,Sushiboys,4,3
167355,113061,heat,Crws,3,4
167355,113061,heat,JitBoyS,3,4
167355,113061,heat,garnetS,4,3
167355,113062,RgLMeister,foxz,2,7
167355,113062,RgLMeister,Sushiboys,2,3
167355,113062,RgLMeister,Crws,2,1
167355,113062,RgLMeister,JitBoyS,2,3
167355,113062,RgLMeister,garnetS,4,1
167355,113062,frz,foxz,2,1
167355,113062,frz,Sushiboys,6,3
167355,113062,frz,Crws,4,5
167355,113062,frz,JitBoyS,3,5
167355,113062,frz,garnetS,4,4
167355,113062,murizzz,foxz,5,4
167355,113062,murizzz,Sushiboys,3,2
167355,113062,murizzz,Crws,1,2
167355,113062,murizzz,JitBoyS,3,5
167355,113062,murizzz,garnetS,3,4
167355,113062,jzz,foxz,4,4
167355,113062,jzz,Sushiboys,3,7
167355,113062,jzz,Crws,7,0
167355,113062,jzz,JitBoyS,3,4
167355,113062,jzz,garnetS,6,2
167355,113062,heat,foxz,2,5
167355,113062,heat,Sushiboys,2,4
167355,113062,heat,Crws,4,1
167355,113062,heat,JitBoyS,5,5
167355,113062,heat,garnetS,2,5
167356,113064,s0m,Fit1nho,4,8
167356,113064,s0m,rhyme,3,3
167356,113064,s0m,hoody,5,2
167356,113064,s0m,Cloud,4,3
167356,113064,s0m,nukkye,4,2
167356,113064,Victor,Fit1nho,3,7
167356,113064,Victor,rhyme,1,3
167356,113064,Victor,hoody,3,1
167356,113064,Victor,Cloud,2,4
167356,113064,Victor,nukkye,2,6
167356,113064,FiNESSE,Fit1nho,4,8
167356,113064,FiNESSE,rhyme,6,5
167356,113064,FiNESSE,hoody,4,2
167356,113064,FiNESSE,Cloud,6,2
167356,113064,FiNESSE,nukkye,3,2
167356,113064,crashies,Fit1nho,4,5
167356,113064,crashies,rhyme,3,4
167356,113064,crashies,hoody,2,3
167356,113064,crashies,Cloud,2,2
167356,113064,crashies,nukkye,1,3
167356,113064,ardiis,Fit1nho,1,7
167356,113064,ardiis,rhyme,6,2
167356,113064,ardiis,hoody,3,4
167356,113064,ardiis,Cloud,4,1
167356,113064,ardiis,nukkye,2,6
167356,113065,s0m,Fit1nho,2,2
167356,113065,s0m,rhyme,1,1
167356,113065,s0m,hoody,1,1
167356,113065,s0m,Cloud,1,2
167356,113065,s0m,nukkye,1,2
167356,113065,Victor,Fit1nho,1,2
167356,113065,Victor,rhyme,4,0
167356,113065,Victor,hoody,4,1
167356,113065,Victor,Cloud,2,1
167356,113065,Victor,nukkye,3,2
167356,113065,FiNESSE,Fit1nho,1,4
167356,113065,FiNESSE,rhyme,2,1
167356,113065,FiNESSE,hoody,1,0
167356,113065,FiNESSE,Cloud,1,4
167356,113065,FiNESSE,nukkye,3,1
167356,113065,crashies,Fit1nho,4,0
167356,113065,crashies,rhyme,2,0
167356,113065,crashies,hoody,4,1
167356,113065,crashies,Cloud,5,2
167356,113065,crashies,nukkye,2,2
167356,113065,ardiis,Fit1nho,3,2
167356,113065,ardiis,rhyme,4,2
167356,113065,ardiis,hoody,3,2
167356,113065,ardiis,Cloud,2,2
167356,113065,ardiis,nukkye,2,0
167356,113066,s0m,Fit1nho,2,2
167356,113066,s0m,rhyme,6,1
167356,113066,s0m,hoody,5,4
167356,113066,s0m,Cloud,5,3
167356,113066,s0m,nukkye,5,1
167356,113066,Victor,Fit1nho,7,0
167356,113066,Victor,rhyme,3,2
167356,113066,Victor,hoody,4,2
167356,113066,Victor,Cloud,0,5
167356,113066,Victor,nukkye,2,2
167356,113066,FiNESSE,Fit1nho,1,2
167356,113066,FiNESSE,rhyme,2,0
167356,113066,FiNESSE,hoody,0,3
167356,113066,FiNESSE,Cloud,4,5
167356,113066,FiNESSE,nukkye,5,4
167356,113066,crashies,Fit1nho,4,1
167356,113066,crashies,rhyme,1,2
167356,113066,crashies,hoody,2,4
167356,113066,crashies,Cloud,2,1
167356,113066,crashies,nukkye,1,3
167356,113066,ardiis,Fit1nho,4,2
167356,113066,ardiis,rhyme,3,3
167356,113066,ardiis,hoody,4,4
167356,113066,ardiis,Cloud,5,1
167356,113066,ardiis,nukkye,4,0
167357,113067,cauanzin,xms,2,0
167357,113067,cauanzin,sh1n,1,10
167357,113067,cauanzin,Newzera,4,1
167357,113067,cauanzin,ScreaM,4,1
167357,113067,cauanzin,Nivera,4,6
167357,113067,Less,xms,6,5
167357,113067,Less,sh1n,4,1
167357,113067,Less,Newzera,6,2
167357,113067,Less,ScreaM,7,2
167357,113067,Less,Nivera,3,3
167357,113067,aspas,xms,0,0
167357,113067,aspas,sh1n,3,2
167357,113067,aspas,Newzera,1,6
167357,113067,aspas,ScreaM,1,2
167357,113067,aspas,Nivera,4,8
167357,113067,tuyz,xms,3,2
167357,113067,tuyz,sh1n,6,3
167357,113067,tuyz,Newzera,5,4
167357,113067,tuyz,ScreaM,2,2
167357,113067,tuyz,Nivera,5,1
167357,113067,saadhak,xms,5,3
167357,113067,saadhak,sh1n,3,5
167357,113067,saadhak,Newzera,1,3
167357,113067,saadhak,ScreaM,3,2
167357,113067,saadhak,Nivera,1,5
167357,113068,cauanzin,xms,5,3
167357,113068,cauanzin,sh1n,1,5
167357,113068,cauanzin,Newzera,1,2
167357,113068,cauanzin,ScreaM,2,2
