match_id,map_num,map_name,player,org,player_id,mk2,mk3,mk4,mk5,c1v1,c1v2,c1v3,c1v4,c1v5,econ,plants,defuses,date,event
167351,113050,HavenPICK,YuChEn,FPX,4723,3,1,0,0,0,0,0,0,0,58,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113050,HavenPICK,nizhaoTZH,FPX,4880,2,1,0,0,0,0,0,0,0,34,2,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113050,HavenPICK,BerLIN,FPX,7857,5,0,0,0,0,0,0,0,0,57,4,2,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113050,HavenPICK,Yuicaw,FPX,11218,2,2,0,0,1,0,0,0,0,82,0,2,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113050,HavenPICK,AAAAY,FPX,19530,2,0,1,0,0,0,0,0,0,44,1,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113050,HavenPICK,ScreaM,KC,92,3,2,1,0,0,0,0,0,0,61,2,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113050,HavenPICK,Newzera,KC,2622,3,0,0,0,1,0,0,0,0,40,5,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113050,HavenPICK,sh1n,KC,2625,0,1,0,0,0,1,0,0,0,41,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113050,HavenPICK,xms,KC,4603,3,0,0,0,0,0,0,0,0,47,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113050,HavenPICK,Nivera,KC,14669,1,2,1,0,0,1,0,0,0,53,3,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113051,Pearl,YuChEn,FPX,4723,2,0,0,0,0,0,0,0,0,50,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113051,Pearl,nizhaoTZH,FPX,4880,1,2,0,0,0,1,0,0,0,45,0,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113051,Pearl,BerLIN,FPX,7857,3,0,0,0,1,0,0,0,0,55,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113051,Pearl,Yuicaw,FPX,11218,5,0,0,0,0,0,0,0,0,42,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113051,Pearl,AAAAY,FPX,19530,2,0,0,0,0,0,0,0,0,35,2,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113051,Pearl,ScreaM,KC,92,4,0,0,0,0,0,0,0,0,55,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113051,Pearl,Newzera,KC,2622,2,0,0,0,0,0,0,0,0,24,6,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113051,Pearl,sh1n,KC,2625,4,3,1,0,0,0,0,0,0,105,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113051,Pearl,xms,KC,4603,2,0,0,0,0,0,0,0,0,31,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167351,113051,Pearl,Nivera,KC,14669,3,2,0,0,0,0,0,0,0,68,0,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113052,PearlPICK,SouhcNi,BBL,556,0,1,0,0,0,0,0,0,0,43,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113052,PearlPICK,Turko,BBL,568,1,0,0,0,0,0,0,0,0,31,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113052,PearlPICK,AsLanM4shadoW,BBL,1481,1,0,0,0,0,0,0,0,0,43,1,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113052,PearlPICK,Brave,BBL,8041,2,0,0,0,0,0,0,0,0,43,0,0,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
167352,113052,PearlPICK,QutionerX,BBL,10161,2,1,1,0,0,0,0,0,0,75,0,1,2023-02-14,Champions Tour 2023: LOCK//IN São Paulo
