MatchID,step,team,action,map
184046,1,VIT,ban,Pearl
184046,2,NAVI,ban,Haven
184046,3,VIT,pick,Split
184046,4,NAVI,pick,Fracture
184046,5,VIT,ban,Icebox
184046,6,NAVI,ban,Lotus
184046,7,,remains,Ascent
184047,1,FNC,ban,Pearl
184047,2,VIT,ban,Fracture
184047,3,FNC,pick,Haven
184047,4,VIT,pick,Bind
184047,5,FNC,ban,Split
184047,6,VIT,ban,Ascent
184047,7,,remains,Lotus
184048,1,FUT,ban,Fracture
184048,2,KC,ban,Pearl
184048,3,FUT,pick,Haven
184048,4,KC,pick,Ascent
184048,5,FUT,ban,Bind
184048,6,KC,ban,Lotus
184048,7,,remains,Split
184049,1,MKOI,ban,Haven
184049,2,BBL,ban,Fracture
184049,3,MKOI,pick,Pearl
184049,4,BBL,pick,Ascent
184049,5,MKOI,ban,Split
184049,6,BBL,ban,Lotus
184049,7,,remains,Bind
184050,1,NAVI,ban,Haven
184050,2,TL,ban,Pearl
184050,3,NAVI,pick,Fracture
184050,4,TL,pick,Bind
184050,5,NAVI,ban,Ascent
184050,6,TL,ban,Split
184050,7,,remains,Lotus
184051,1,GIA,ban,Fracture
184051,2,TH,ban,Split
184051,3,GIA,pick,Pearl
184051,4,TH,pick,Lotus
184051,5,GIA,ban,Haven
184051,6,TH,ban,Ascent
184051,7,,remains,Bind
184052,1,GIA,ban,Fracture
184052,2,VIT,ban,Pearl
184052,3,GIA,pick,Lotus
184052,4,VIT,pick,Split
184052,5,GIA,ban,Haven
184052,6,VIT,ban,Bind
184052,7,,remains,Ascent
184053,1,,unknown,Stats unavailable for Map 2 due to lobby remake.
184054,1,FNC,ban,Pearl
184054,2,KC,ban,Bind
184054,3,FNC,pick,Haven
184054,4,KC,pick,Lotus
184054,5,FNC,ban,Split
184054,6,KC,ban,Ascent
184054,7,,remains,Fracture
184055,1,,unknown,Stats unavailable for Map 1 due to lobby remake.
184056,1,MKOI,ban,Bind
184056,2,TH,ban,Pearl
184056,3,MKOI,pick,Fracture
184056,4,TH,pick,Lotus
184056,5,MKOI,ban,Split
184056,6,TH,ban,Haven
184056,7,,remains,Ascent
