Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
CN,yosemite,WOL,https://www.vlr.gg/player/6022/yosemite,43%29%14%+1,139,0.92,176,0.86,75%,121.5,0.60,0.27,0.10,0.12,24%,,,20,84,98,38,14,16
CN,SpiritZ1,DRG,https://www.vlr.gg/player/31753/spiritz1,57%43%,161,0.92,218,0.94,73%,147.1,0.74,0.19,0.14,0.10,34%,,,25,119,126,31,23,16
CN,nobody,EDG,https://www.vlr.gg/player/3017/nobody,67%33%,57,0.88,169,0.78,67%,122.6,0.54,0.28,0.07,0.07,28%,,,12,31,40,16,4,4
CN,Nicc,DRG,https://www.vlr.gg/player/11524/nicc,71%14%14%,161,0.87,172,0.85,71%,101.8,0.58,0.42,0.06,0.12,26%,,,18,93,110,68,10,19
CN,LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,75%25%,72,0.86,194,0.79,68%,117.6,0.68,0.28,0.04,0.13,30%,,,14,49,62,20,3,9
CN,NoMan,XLG,https://www.vlr.gg/player/11527/noman,40%20%20%+1,111,0.86,165,0.96,68%,110.8,0.60,0.19,0.09,0.13,28%,,,17,67,70,21,10,14
CN,zhe,JDG,https://www.vlr.gg/player/49476/zhe,67%33%,62,0.85,176,0.82,68%,108.5,0.60,0.10,0.15,0.16,22%,,,13,37,45,6,9,10
CN,jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,67%33%,62,0.84,176,0.87,61%,113.1,0.65,0.26,0.02,0.08,24%,,,15,40,46,16,1,5
CN,deLb,TE,https://www.vlr.gg/player/10821/delb,100%,72,0.84,163,0.73,65%,109.5,0.57,0.18,0.06,0.07,35%,,,15,41,56,13,4,5
CN,Verse,DRG,https://www.vlr.gg/player/55817/verse,86%14%,161,0.84,143,0.76,76%,97.0,0.50,0.47,0.04,0.06,32%,,,20,81,107,75,7,10
CN,glacier,WOL,https://www.vlr.gg/player/49973/glacier,43%29%14%+1,139,0.82,186,0.78,68%,124.4,0.62,0.22,0.18,0.20,25%,,,20,86,110,30,25,28
CN,FT,BLG,https://www.vlr.gg/player/64029/ft,25%25%25%+2,172,0.82,169,0.84,67%,109.0,0.60,0.21,0.07,0.12,32%,,,19,103,123,36,12,20
CN,AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,60%40%,100,0.80,148,0.74,65%,96.4,0.53,0.20,0.05,0.06,37%,,,16,53,72,20,5,6
CN,Dynamite,TEC,https://www.vlr.gg/player/42235/dynamite,63%38%,181,0.80,184,0.80,67%,122.0,0.63,0.26,0.15,0.24,26%,,,19,114,143,47,27,43
CN,crownfisher,JDG,https://www.vlr.gg/player/64969/crownfisher,33%33%33%,62,0.80,162,0.75,60%,105.0,0.53,0.15,0.08,0.16,25%,,,12,33,44,9,5,10
CN,Spitfires,TEC,https://www.vlr.gg/player/4881/spitfires,38%38%25%,181,0.79,181,0.73,66%,125.4,0.57,0.22,0.09,0.23,30%,,,20,104,143,40,16,41
CN,BerLIN,JDG,https://www.vlr.gg/player/7857/berlin,67%33%,62,0.70,138,0.57,71%,93.2,0.44,0.19,0.06,0.08,33%,,,14,27,47,12,4,5
CN,Kai,TE,https://www.vlr.gg/player/37494/kai,50%50%,72,0.70,172,0.66,61%,109.8,0.60,0.19,0.22,0.15,29%,,,16,43,65,14,16,11
CN,FengF,TE,https://www.vlr.gg/player/4770/fengf,50%25%25%,72,0.65,133,0.56,61%,96.2,0.44,0.32,0.00,0.13,34%,,,14,32,57,23,0,9
CN,FKEY,TE,https://www.vlr.gg/player/51249/fkey,50%25%25%,72,0.61,132,0.54,51%,83.5,0.44,0.25,0.11,0.10,22%,,,13,32,59,18,8,7
CN,Jieni7,EDG,https://www.vlr.gg/player/51244/jieni7,67%33%,57,0.56,146,0.56,63%,96.2,0.47,0.25,0.09,0.07,19%,,,13,27,48,14,5,4
