MatchID,MapNum,WinnerOrg,Score,MatchName
184059,119312,GIA,16-14,Regular Season: Week 8
184059,119313,GIA,13-5,Regular Season: Week 8
184059,all,GIA,2-0,Regular Season: Week 8
184060,119315,TL,13-7,Regular Season: Week 8
184060,119316,MKOI,13-11,Regular Season: Week 8
184060,119317,TL,13-8,Regular Season: Week 8
184060,all,TL,2-1,Regular Season: Week 8
184061,119318,FUT,13-5,Regular Season: Week 8
184061,119319,FUT,13-7,Regular Season: Week 8
184061,all,FUT,2-0,Regular Season: Week 8
184456,119512,KRX,13-5,League Play: Week 1
184456,119513,KRX,13-5,League Play: Week 1
184456,all,KRX,2-0,League Play: Week 1
184457,119515,T1,13-8,League Play: Week 1
184457,119516,GE,13-4,League Play: Week 1
184457,119517,T1,13-7,League Play: Week 1
184457,all,T1,2-1,League Play: Week 1
184458,119518,PRX,13-5,League Play: Week 1
184458,119519,PRX,13-11,League Play: Week 1
184458,all,PRX,2-0,League Play: Week 1
184459,119521,TS,13-5,League Play: Week 1
184459,119522,TLN,13-8,League Play: Week 1
184459,119523,TS,13-3,League Play: Week 1
184459,all,TS,2-1,League Play: Week 1
184460,119524,GEN,13-9,League Play: Week 1
184460,119525,GEN,13-6,League Play: Week 1
184460,all,GEN,2-0,League Play: Week 1
184461,119527,RRQ,13-10,League Play: Week 2
184461,119528,ZETA,13-10,League Play: Week 2
184461,119529,ZETA,13-5,League Play: Week 2
184461,all,ZETA,2-1,League Play: Week 2
184462,119530,T1,13-8,League Play: Week 2
184462,119531,T1,13-6,League Play: Week 2
184462,all,T1,2-0,League Play: Week 2
184463,119533,PRX,13-11,League Play: Week 2
184463,119534,TS,13-11,League Play: Week 2
184463,119535,TS,13-10,League Play: Week 2
184463,all,TS,2-1,League Play: Week 2
184465,119536,GEN,13-8,League Play: Week 2
184465,119537,DFM,13-4,League Play: Week 2
184465,119538,GEN,13-8,League Play: Week 2
184465,all,GEN,2-1,League Play: Week 2
184466,119539,KRX,13-11,League Play: Week 2
184466,119540,KRX,17-15,League Play: Week 2
184466,all,KRX,2-0,League Play: Week 2
184467,119542,RRQ,13-4,League Play: Week 3
184467,119543,RRQ,13-7,League Play: Week 3
184467,all,RRQ,2-0,League Play: Week 3
184468,119545,PRX,13-3,League Play: Week 3
184468,119546,PRX,13-6,League Play: Week 3
184468,all,PRX,2-0,League Play: Week 3
184469,119548,GE,13-9,League Play: Week 3
184469,119549,ZETA,14-12,League Play: Week 3
184469,119550,ZETA,13-8,League Play: Week 3
184469,all,ZETA,2-1,League Play: Week 3
184470,119551,KRX,13-3,League Play: Week 3
184470,119552,KRX,13-10,League Play: Week 3
184470,all,KRX,2-0,League Play: Week 3
184471,119554,GEN,13-8,League Play: Week 3
184471,119555,GEN,13-11,League Play: Week 3
184471,all,GEN,2-0,League Play: Week 3
184472,119557,KRX,13-5,League Play: Week 4
184472,119558,KRX,13-10,League Play: Week 4
184472,all,KRX,2-0,League Play: Week 4
184473,119560,RRQ,13-10,League Play: Week 4
184473,119561,RRQ,13-7,League Play: Week 4
184473,all,RRQ,2-0,League Play: Week 4
184474,119563,GEN,13-5,League Play: Week 4
184474,119564,GEN,13-5,League Play: Week 4
184474,all,GEN,2-0,League Play: Week 4
184475,119566,ZETA,13-9,League Play: Week 4
184475,119567,ZETA,13-5,League Play: Week 4
184475,all,ZETA,2-0,League Play: Week 4
184476,119569,GE,13-6,League Play: Week 4
184476,119570,GE,13-11,League Play: Week 4
184476,all,GE,2-0,League Play: Week 4
184477,119572,GE,13-7,League Play: Week 5
184477,119573,PRX,13-6,League Play: Week 5
184477,119574,PRX,13-7,League Play: Week 5
184477,all,PRX,2-1,League Play: Week 5
184478,119575,KRX,13-7,League Play: Week 5
184478,119576,GEN,13-10,League Play: Week 5
184478,119577,KRX,13-4,League Play: Week 5
184478,all,KRX,2-1,League Play: Week 5
184479,119578,T1,13-9,League Play: Week 5
184479,119579,T1,13-4,League Play: Week 5
184479,all,T1,2-0,League Play: Week 5
184480,119581,TS,13-11,League Play: Week 5
184480,119582,TS,13-8,League Play: Week 5
184480,all,TS,2-0,League Play: Week 5
184481,119584,TLN,13-8,League Play: Week 5
184481,119585,TLN,16-14,League Play: Week 5
184481,all,TLN,2-0,League Play: Week 5
184482,119587,T1,13-9,League Play: Week 6
184482,119588,DFM,13-9,League Play: Week 6
184482,119589,T1,13-10,League Play: Week 6
184482,all,T1,2-1,League Play: Week 6
184483,119590,ZETA,13-9,League Play: Week 6
184483,119591,TS,13-10,League Play: Week 6
184483,119592,ZETA,13-9,League Play: Week 6
184483,all,ZETA,2-1,League Play: Week 6
184484,119593,GE,13-8,League Play: Week 6
184484,119594,GE,13-8,League Play: Week 6
184484,all,GE,2-0,League Play: Week 6
184485,119596,RRQ,13-8,League Play: Week 6
184485,119597,KRX,13-10,League Play: Week 6
184485,119598,KRX,13-2,League Play: Week 6
184485,all,KRX,2-1,League Play: Week 6
184486,119599,TLN,13-11,League Play: Week 6
184486,119600,PRX,13-4,League Play: Week 6
184486,119601,PRX,13-10,League Play: Week 6
184486,all,PRX,2-1,League Play: Week 6
184488,119602,TLN,13-8,League Play: Week 7
184488,119603,TLN,13-7,League Play: Week 7
184488,all,TLN,2-0,League Play: Week 7
184489,119605,PRX,13-6,League Play: Week 7
184489,119606,PRX,13-10,League Play: Week 7
184489,all,PRX,2-0,League Play: Week 7
184490,119608,RRQ,13-10,League Play: Week 7
184490,119609,RRQ,13-11,League Play: Week 7
184490,all,RRQ,2-0,League Play: Week 7
184491,119611,T1,13-4,League Play: Week 7
184491,119612,T1,13-8,League Play: Week 7
184491,all,T1,2-0,League Play: Week 7
184492,119614,KRX,13-8,League Play: Week 7
184492,119615,KRX,13-4,League Play: Week 7
184492,all,KRX,2-0,League Play: Week 7
184493,119617,PRX,13-7,League Play: Week 8
184493,119618,PRX,13-2,League Play: Week 8
184493,all,PRX,2-0,League Play: Week 8
184494,119620,T1,13-11,League Play: Week 8
184494,119621,ZETA,13-10,League Play: Week 8
184494,119622,T1,13-3,League Play: Week 8
184494,all,T1,2-1,League Play: Week 8
184495,119623,TS,13-8,League Play: Week 8
184495,119624,TS,13-11,League Play: Week 8
