Region,Player,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Pacific,ZeusTS,,128,0.96,230.7,0.95,77%,152.6,0.77,0.29,0.21,0.23,22%,,0/3,25,99,104,37,27,29
Pacific,xavi8kGE,(+3),230,0.95,177.2,0.89,68%,118.9,0.62,0.37,0.05,0.09,21%,17%,4/24,26,142,159,85,12,20
Pacific,SyouTaZETA,(+2),269,0.93,193.6,0.97,72%,125.4,0.69,0.17,0.12,0.11,35%,11%,5/45,19,186,192,45,31,30
Pacific,IvyNS,(+2),310,0.93,191.4,0.93,65%,125.3,0.66,0.17,0.11,0.14,35%,16%,8/50,23,205,221,54,33,42
Pacific,BerserXTS,(+1),269,0.92,171.4,0.87,74%,119.0,0.59,0.24,0.07,0.08,22%,7%,3/42,24,159,183,64,19,21
Pacific,yatsukaDFM,(+3),217,0.92,148.9,0.81,70%,96.5,0.53,0.37,0.05,0.05,41%,19%,7/37,16,114,140,81,10,10
Pacific,SSeeSDFM,(+1),217,0.91,169.0,0.82,75%,112.3,0.56,0.44,0.04,0.09,26%,11%,3/28,18,122,149,96,8,19
Pacific,RbNS,(+1),310,0.90,156.3,0.83,69%,103.6,0.55,0.41,0.05,0.09,26%,20%,8/40,20,170,205,126,15,28
Pacific,LeviathanFS,(+1),244,0.90,168.1,0.94,68%,113.7,0.63,0.24,0.05,0.10,36%,19%,8/43,25,153,162,59,12,24
Pacific,free1ngKRX,,239,0.89,195.8,1.02,68%,119.0,0.69,0.14,0.13,0.15,22%,33%,3/9,21,166,163,33,32,35
Pacific,yongKRX,,239,0.89,183.5,0.96,70%,126.0,0.67,0.21,0.13,0.13,27%,12%,3/26,33,161,167,49,32,30
Pacific,KushyRRQ,,222,0.88,146.7,0.79,74%,96.7,0.53,0.38,0.06,0.08,35%,5%,1/20,26,117,148,85,13,18
Pacific,SugarZ3roZETA,(+1),269,0.87,171.5,0.80,69%,110.1,0.59,0.37,0.07,0.09,30%,9%,2/23,20,159,199,99,20,23
Pacific,eKoZETA,(+3),269,0.87,174.4,0.80,67%,121.5,0.61,0.28,0.10,0.12,27%,6%,2/32,21,163,204,75,26,32
Pacific,JessieVashTS,(+1),269,0.86,149.4,0.77,74%,105.6,0.53,0.36,0.04,0.03,25%,20%,5/25,19,143,185,96,11,9
Pacific,CrwsFS,(+2),244,0.86,157.3,0.77,71%,107.0,0.53,0.41,0.05,0.07,23%,27%,7/26,14,129,168,99,13,18
Pacific,KlausVL,(+4),275,0.85,172.3,0.88,64%,114.2,0.63,0.15,0.12,0.14,31%,16%,3/19,31,174,198,41,33,39
Pacific,XdllZETA,(+5),269,0.84,160.7,0.77,65%,111.3,0.57,0.19,0.05,0.06,32%,16%,6/37,18,152,198,52,13,16
Pacific,ZexyVL,(+2),275,0.82,191.9,0.85,62%,126.9,0.67,0.18,0.13,0.15,28%,21%,5/24,26,183,216,49,37,41
Pacific,C1ndeRVL,(+1),275,0.78,157.0,0.73,68%,97.7,0.54,0.36,0.06,0.07,31%,19%,5/27,24,148,203,98,16,19
Pacific,MonyetRRQ,,222,0.76,179.7,0.80,67%,109.5,0.62,0.18,0.14,0.20,24%,30%,3/10,19,138,173,41,31,44
Pacific,Foxy9GEN,,38,0.72,140.0,0.70,71%,82.2,0.50,0.34,0.05,0.05,27%,33%,2/6,10,19,27,13,2,2
Pacific,KiTaeGEN,,143,0.72,156.7,0.65,70%,101.3,0.48,0.38,0.08,0.11,28%,9%,1/11,17,69,106,55,11,16
Pacific,ZynXGEN,(+3),139,0.71,168.1,0.70,68%,105.9,0.58,0.25,0.08,0.11,24%,,0/11,21,80,115,35,11,15
Pacific,RimuruTS,,141,0.67,159.8,0.70,59%,111.2,0.58,0.19,0.19,0.32,30%,,0/4,28,82,117,27,27,45
